Domain,Function Name,File Path,Purpose,Call Sites,Migrated Status
Chat,saveChat,lib/db/queries.ts,Create new chat in DB and cache,app/(chat)/api/chat/route.ts:206,pending
Chat,getChatById,lib/db/queries.ts,Get chat by ID (cache-first for auth users),app/(chat)/api/chat/route.ts:160|app/(chat)/api/vote/route.ts:23|app/(chat)/api/vote/route.ts:83|app/(chat)/actions.ts:50|lib/db/queries.ts:581,pending
Chat,getChatWithMessagesById,lib/db/queries.ts,Get chat with messages in single operation,app/(chat)/chat/[id]/page.tsx:33|lib/db/queries.ts:389,pending
Chat,getChatsByUserId,lib/db/queries.ts,Get paginated list of user's chats,app/(chat)/api/history/route.ts:45,pending
Chat,deleteChatById,lib/db/queries.ts,Delete chat and related data,app/(chat)/api/chat/route.ts:623,pending
Chat,updateChatTitleById,lib/db/queries.ts,Update chat title in DB and cache,lib/cache/batch-operations.ts (via cache operations),pending
Chat,updateChatVisiblityById,lib/db/queries.ts,Update chat visibility in DB and cache,app/(chat)/actions.ts:66,pending
Chat,updateChatLastContextById,lib/db/queries.ts,Update chat context/usage in DB and cache,lib/db/queries.ts (internal use in saveMessagesAndContext),pending
Chat,deleteAllChatsByUserId,lib/db/queries.ts,Delete all chats for a user,app/(chat)/api/history/route.ts:69,pending
Message,saveMessages,lib/db/queries.ts,Bulk save messages to DB and cache,lib/db/queries.ts (internal use in saveMessagesAndContext),pending
Message,getMessagesByChatId,lib/db/queries.ts,Get all messages for a chat,app/(chat)/api/chat/route.ts:163|lib/db/queries.ts:389,pending
Message,saveMessagesAndContext,lib/db/queries.ts,Save messages and context in optimized batch,app/(chat)/api/chat/route.ts:527,pending
Message,deleteMessagesByChatIdAfterTimestamp,lib/db/queries.ts,Delete messages after timestamp (for regeneration),app/(chat)/actions.ts:52,pending
Message,getMessageById,lib/db/queries.ts,Get single message by ID,app/(chat)/actions.ts:44,pending
Message,getMessageCountByUserId,lib/db/queries.ts,Get message count for rate limiting,app/(chat)/api/chat/route.ts:153,pending
Document,saveDocument,lib/db/queries.ts,Save document version to DB and cache,app/(chat)/api/document/route.ts:109|lib/artifacts/server.ts:73|lib/artifacts/server.ts:109,pending
Document,getDocumentsById,lib/db/queries.ts,Get all versions of a document,app/(chat)/api/document/route.ts:33|app/(chat)/api/document/route.ts:83|app/(chat)/api/document/route.ts:150,pending
Document,getDocumentById,lib/db/queries.ts,Get latest version of a document,lib/ai/tools/update-document.ts:25,pending
